"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/rfl-king-jug-tr-and-pink-35-ltr-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95745&q=best&v=1&m=400&webp=1","150","RFL King Jug Tr And Pink 3.5 ltr","each","1 hr"
"https://chaldn.com/_mpimage/rfl-round-mini-rack-red-and-white-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95569&q=best&v=1&m=400&webp=1","200","RFL Round Mini Rack (Red and White)","each","Next Day"
"https://chaldn.com/_mpimage/rfl-beauty-stool-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95451&q=best&v=1&m=400&webp=1","150","RFL Beauty Stool (Red)","each","1 hr"
"https://chaldn.com/_mpimage/bajaj-super-electronic-gas-lighter-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125334&q=best&v=1&m=400&webp=1","119","Bajaj Super Electronic Gas Lighter","each","1 hr"
"https://chaldn.com/_mpimage/rfl-rice-washing-net-red-40-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132788&q=best&v=1&m=400&webp=1","160","RFL Rice Washing Net Red 40 cm","each","Next Day"
"https://chaldn.com/_mpimage/npoly-multipurpose-washing-net-red-32-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115218&q=best&v=1&m=400&webp=1","55","Npoly Multipurpose Washing Net (Red) 32 cm","each","1 hr"
"https://chaldn.com/_mpimage/disposable-vinyl-gloves-pack-l-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106825&q=best&v=1&m=400&webp=1","770","Disposable Vinyl Gloves Pack (L)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-vegetable-washing-net-37-cm-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132885&q=best&v=1&m=400&webp=1","115","RFL Vegetable Washing Net 37 cm (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-stainless-steel-coup-spoon-28-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101022&q=best&v=1&m=400&webp=1","110","RFL Stainless Steel Coup Spoon 28 cm","each","1 hr"
"https://chaldn.com/_mpimage/rfl-plastic-dala-big-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95531&q=best&v=1&m=400&webp=1","240","RFL Plastic Dala Big (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-deluxe-bucket-15-ltr-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95523&q=best&v=1&m=400&webp=1","240","RFL Deluxe Bucket 15 ltr (Red)","each","1 hr"
"https://chaldn.com/_mpimage/rfl-vegetable-washing-net-30-cm-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132882&q=best&v=1&m=400&m=400&webp=1","90","RFL Vegetable Washing Net 30 cm (Red)","each","1 hr"
"https://chaldn.com/_mpimage/npoly-washing-handle-net-pest-blue-21-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138988&q=best&v=1&m=400&webp=1","50","Npoly Washing Handle Net (Pest Blue) 21 cm","each","1 hr"
"https://chaldn.com/_mpimage/hanging-spoon-stand-round-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114555&q=best&v=1&m=400&webp=1","361","Hanging Spoon Stand Round","each","1 hr"
"https://chaldn.com/_mpimage/rfl-chef-chopping-board-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D95713&q=best&v=1&m=400&webp=1","350","RFL Chef Chopping Board","each","1 hr"
"https://chaldn.com/_mpimage/rfl-two-color-magic-stool-medium-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132827&q=best&v=1&m=400&webp=1","430","RFL Two Color Magic Stool Medium","each","1 hr"
"https://chaldn.com/_mpimage/utility-gas-lighter-refillable-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174909&q=best&v=1&m=400&webp=1","249","Utility Gas Lighter Refillable","each","1 hr"
"https://chaldn.com/_mpimage/stainless-steel-roncfa-knife-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D112343&q=best&v=1&m=400&webp=1","215","Stainless Steel Roncfa Knife","each","1 hr"
"https://chaldn.com/_mpimage/spoon-stand-round-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114547&q=best&v=1&m=400&m=400&webp=1","306","Spoon Stand Round","each","1 hr"
"https://chaldn.com/_mpimage/rfl-stainless-steel-net-spoon-33-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D101027&q=best&v=1&m=400&webp=1","150","RFL Stainless Steel Net Spoon 33 cm","each","1 hr"
"https://chaldn.com/_mpimage/roasting-clamp-stainless-steel-9-kitchen-tool-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132973&q=best&v=1&m=400&webp=1","188","Roasting Clamp Stainless Steel 9"" Kitchen Tool","each","1 hr"
"https://chaldn.com/_mpimage/dish-washing-plastic-sponge-multi-color-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D182947&q=best&v=1&m=400&webp=1","110","Dish Washing Plastic Sponge Multi Color","5 pcs","1 hr"
"https://chaldn.com/_mpimage/one-time-packaging-tray-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108017&q=best&v=1&m=400&webp=1","299","One Time Packaging Tray","100 pcs","1 hr"
"https://chaldn.com/_mpimage/npoly-dust-pan-red-8-x-6-inch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135749&q=best&v=1&m=400&m=400&webp=1","60","Npoly Dust Pan (Red) 8 x 6 inch","each","1 hr"
"https://chaldn.com/_mpimage/net-bag-150-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125478&q=best&v=1&m=400&webp=1","289","Net Bag","150 pcs","1 hr"
"https://chaldn.com/_mpimage/npoly-kitchen-chopping-board-white-335-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131461&q=best&v=1&m=400&webp=1","150","Npoly Kitchen Chopping Board (White) 33.5 cm","each","1 hr"
"https://chaldn.com/_mpimage/bashundhara-paper-napkins-13-unscented-100-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164084&q=best&v=1&m=400&webp=1","75","Bashundhara Paper Napkins 13"" Unscented","100 pcs","1 hr"
"https://chaldn.com/_mpimage/partex-cleen-kitchen-towel-roll-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124949&q=best&v=1&m=400&webp=1","160","Partex Cleen Kitchen Towel Roll","2 pcs","1 hr"
"https://chaldn.com/_mpimage/fresh-paper-napkins-13-perfumed-100x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113125&q=best&v=1&m=400&webp=1","75","Fresh Paper Napkins 13"" Perfumed (100X1 Ply)","each","1 hr"
"https://chaldn.com/_mpimage/match-box-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130632&q=best&v=1&m=400&webp=1","35","Match Box","12 pcs","1 hr"
"https://chaldn.com/_mpimage/dishwashing-stainless-steel-scrubber-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135006&q=best&v=1&m=400&webp=1","123","Dishwashing Stainless Steel Scrubber","4 pcs","1 hr"
"https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D99748&q=best&v=1&m=400&webp=1","160","Bashundhara Kitchen Towel Rolls","2 pcs","1 hr"
"https://chaldn.com/_mpimage/fresh-hand-towel-250x1-ply-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113119&q=best&v=1&m=400&webp=1","100","Fresh Hand Towel (250X1 Ply)","each","1 hr"
"https://chaldn.com/_mpimage/dish-washing-scrubbing-pad-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106820&q=best&v=1&m=400&webp=1","30","Dish Washing Scrubbing Pad","each","1 hr"
"https://chaldn.com/_mpimage/bashundhara-kitchen-towel-rolls-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124786&q=best&v=1&m=400&webp=1","85","Bashundhara Kitchen Towel Rolls","each","1 hr"
"https://chaldn.com/_mpimage/partex-cleen-kitchen-towel-roll-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D134148&q=best&v=1&m=400&webp=1","85","Partex Cleen Kitchen Towel Roll","each","1 hr"
"https://chaldn.com/_mpimage/fresh-kitchen-towel-roll-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D49743&q=best&v=1&m=400&webp=1","85","Fresh kitchen Towel Roll","each","1 hr"
"https://chaldn.com/_mpimage/rok-dishwashing-steel-scourer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132985&q=best&v=1&m=400&webp=1","35","Rok Dishwashing Steel Scourer","each","1 hr"
